Title,Cast and crew,genres,title_year,imdb_score,plot_keywords,language,movie_title
Hot Summer Nights,"Elijah Bynum (director/screenplay); Timothée Chalamet, Maika Monroe, Alex Roe, Maia Mitchell, William Fichtner, Thomas Jane, Emory Cohen, Rachel O'Shaughnessy","Drama, Crime",2018,,"drug dealer, summer residence, massachusetts, coming of age, marijuana, drug dealing, summer, cape cod, summer romance, 1990s, illicit trade, teenager",en,Hot Summer Nights
Puzzle,"Marc Turtletaub (director); Oren Moverman, Polly Mann (screenplay); Kelly Macdonald, Irrfan Khan, David Denman, Bubba Weiler, Austin Abrams, Liv Hewson","Action, Crime, Thriller",1986,,,es,Puzzle
Extinction,"Ben Young (director); Spenser Cohen, Brad Kane (screenplay); Michael Peña, Lizzy Caplan, Mike Colter, Amelia Crouch, Erica Tremblay, Israel Broussard, Lex Shrapnel, Emma Booth","Action, Drama, Science Fiction, Thriller",2018,,"alien, space, mechanic, alien invasion, spaceship, cautionary, bold, foreboding",en,Extinction
Christopher Robin,"Marc Forster (director); Alex Ross Perry, Tom McCarthy, Allison Schroeder (screenplay); Ewan McGregor, Hayley Atwell, Jim Cummings, Brad Garrett","Adventure, Comedy, Family, Fantasy",2018,,"forest, family, animals, magic realism, childhood, live action and animation, father daughter relationship, live action remake, adulthood",en,Christopher Robin
The Darkest Minds,"Jennifer Yuh Nelson (director); Chad Hodge (screenplay); Amandla Stenberg, Harris Dickinson, Mandy Moore, Patrick Gibson, Skylan Brooks, Miya Cech, Bradley Whitford, Gwendoline Christie","Action, Adventure, Drama",2018,,"based on novel or book, dystopia, super power, children on the run, woman director, based on young adult novel",en,The Darkest Minds
The Spy Who Dumped Me,"Susanna Fogel (director/screenplay); David Iserson (screenplay); Mila Kunis, Kate McKinnon, Justin Theroux, Sam Heughan","Comedy, Action, Adventure",2018,,"berlin, germany, paris, france, spy, prague, czech republic, female friendship, best friend, los angeles, california, save the day, acrobats, edward snowden",en,The Spy Who Dumped Me
The Miseducation of Cameron Post,"Desiree Akhavan (director/screenplay); Cecilia Frugiuele (screenplay); Chloë Grace Moretz, John Gallagher Jr., Sasha Lane, Forrest Goodluck, Marin Ireland, Owen Campbell, Kerry Butler, Quinn Shephard, Emily Skeggs, Melanie Ehrlich, Jennifer Ehle",Drama,2018,,"homophobia, christianity, trauma, coming of age, religion, lgbt, pseudoscience, lgbt teen, woman director, female sexuality, 1990s, emotional abuse, conversion therapy, based on young adult novel, teenager",en,The Miseducation of Cameron Post
Never Goin' Back,"Augustine Frizzell (director/screenplay); Maia Mitchell, Camila Morrone",Comedy,2018,,"robbery, waitress, female friendship, based on true story, drug dealing, poverty, juvenile delinquent, autobiographical, woman director, narcotics, roommate issues, past due rent, weed, stoner movie, female writer, high school drop out, best friends",en,Never Goin' Back
Dog Days,"Ken Marino (director); Elissa Matsueda, Erica Oyama (screenplay); Nina Dobrev, Vanessa Hudgens, Adam Pally, Eva Longoria, Rob Corddry, Tone Bell, Jon Bass, Michael Cassidy, Thomas Lennon, Tig Notaro, Finn Wolfhard, Ron Cephas Jones","Romance, Comedy",2018,,"dog, pets",en,Dog Days
The Meg,"Jon Turteltaub (director); Dean Georgaris, Jon Hoeber, Erich Hoeber (screenplay); Jason Statham, Li Bingbing, Rainn Wilson, Ruby Rose, Winston Chao, Cliff Curtis","Action, Science Fiction, Horror",2018,,"beach, based on novel or book, deep sea, underwater, shark, oceanic expedition, kaiju, underwater facility, mariana trench, amused, antagonistic, frightened",en,The Meg
BlacKkKlansman,"Spike Lee (director/screenplay); Charlie Wachtel, David Rabinowitz, Kevin Willmott (screenplay); John David Washington, Adam Driver, Laura Harrier, Topher Grace","Crime, Comedy, Drama, History",2018,,"based on novel or book, ku klux klan, 1970s, black panther party, biography, based on true story, undercover cop, racism, based on memoir or autobiography, revisionist history, white supremacy, thoughtful, defiant, kkk, kkk rally",en,BlacKkKlansman
Slender Man,"Sylvain White (director); David Birke (screenplay); Julia Goldani Telles, Joey King, Jaz Sinclair, Annalise Basso, Javier Botet","Horror, Mystery, Thriller",2018,,"small town, massachusetts, supernatural, forest, urban legend, fear, slender man, disgusted",en,Slender Man
A Prayer Before Dawn,"Jean-Stéphane Sauvaire (director); Jonathan Hirschbein, Nick Saltrese (screenplay); Joe Cole","Drama, Action, Crime",2018,,"prison, prisoner, based on novel or book, thailand, biography, based on true story, muay thai, kick boxing, based on memoir or autobiography, drugs, outsider, boxing, thai boxing, ladyboy, chiang mai",en,A Prayer Before Dawn
Elizabeth Harvest,"Sebastian Gutierrez (director/screenplay); Abbey Lee, Matthew Beard, Carla Gugino, Ciarán Hinds, Dylan Baker","Science Fiction, Thriller, Horror, Mystery",2018,,"husband wife relationship, cloning, scientist, newlywed, locked room",en,Elizabeth Harvest
Crazy Rich Asians,"Jon M. Chu (director); Peter Chiarelli, Adele Lim (screenplay); Constance Wu, Henry Golding, Gemma Chan, Lisa Lu, Awkwafina, Ken Jeong, Michelle Yeoh","Comedy, Romance",2018,,"based on novel or book, professor, singapore, wedding, east asian lead, wealthy family, asian american",en,Crazy Rich Asians
Alpha,"Albert Hughes (director); Daniele Sebastian Wiedenhaupt (screenplay); Kodi Smit-McPhee, Jóhannes Haukur Jóhannesson","Comedy, Drama",2024,,,en,Alpha
Mile 22,"Peter Berg (director); Lea Carpenter (screenplay); Mark Wahlberg, Iko Uwais, John Malkovich, Lauren Cohan, Ronda Rousey, Nikolai Nikolaeff","Action, Thriller",2018,,"martial arts, central intelligence agency (cia), handheld camera, top secret, black ops, political corruption, intelligence officer, aggressive, elite forces, tactical command unit, triple agent, pretentious",en,Mile 22
The Wife,"Björn Runge (director); Jane Anderson (screenplay); Glenn Close, Jonathan Pryce, Christian Slater, Max Irons, Annie Starke, Harry Lloyd, Elizabeth McGovern",Drama,2018,,"infidelity, husband wife relationship, based on novel or book, professor, nobel prize, stockholm, sweden, flashback, author, writer, love affair, extramarital affair, novelist, award, 1960s, 1990s, casamento",en,The Wife
Billionaire Boys Club,"James Cox (director/screenplay); Captain Mauzner (screenplay); Ansel Elgort, Taron Egerton, Emma Roberts, Kevin Spacey, Jeremy Irvine, Thomas Cocquerel, Rosanna Arquette, Cary Elwes, Judd Nelson","Thriller, TV Movie",1987,,"murder, miniseries",en,Billionaire Boys Club
"Juliet, Naked","Jesse Peretz (director); Tamara Jenkins, Jim Taylor, Evgenia Peretz (screenplay); Rose Byrne, Ethan Hawke, Chris O'Dowd, Denise Gough, Phil Davis","Comedy, Drama, Romance",2018,,"london, england, countryside, england, museum, e-mail, relationship problems, website, obsessed fan, folk singer, high school teacher, singer-songwriter, boyfriend girlfriend relationship, correspondence, lecturer, kids, long term relationship, rockstar, dysfunctional relationship, seaside village, sister sister relationship",en,"Juliet, Naked"
Down a Dark Hall,"Rodrigo Cortés (director); Michael Goldbach, Chris Sparling (screenplay); AnnaSophia Robb, Isabelle Fuhrman, Victoria Moroles, Noah Silver, Taylor Russell, Rosie Day, Uma Thurman","Horror, Mystery, Thriller, Fantasy, Drama",2018,,"boarding school, music teacher, haunted house, private school, possessed, math teacher, schoolgirl, teacher student relationship, troubled teen, isolated house, art teacher, locked room mystery, literature teacher",en,Down a Dark Hall
To All the Boys I've Loved Before,"Susan Johnson (director); Sofia Alvarez (screenplay); Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart, King Bach, Trezzo Mahoro, Madeleine Arthur, Emilija Baranac, Israel Broussard, John Corbett","Comedy, Romance",2018,,"high school, based on novel or book, love letter, romance, first love, lost mother, woman director, sisterhood, pretend relationship, based on young adult novel, asian american, derogatory, ridiculous",en,To All the Boys I've Loved Before
The Happytime Murders,"Brian Henson (director); Todd Berger (screenplay); Melissa McCarthy, Bill Barretta, Joel McHale, Maya Rudolph, Leslie David Baker, Elizabeth Banks","Action, Comedy, Crime",2018,,"prostitute, fbi, adult humor, puppet, spoof, puppetry, drug lord, buddy cop",en,The Happytime Murders
Searching,"Aneesh Chaganty (director/screenplay); Sev Ohanian (screenplay); John Cho, Debra Messing","Drama, Mystery, Thriller",2018,,"california, stalker, disappearance, internet, east asian lead, police detective, missing person, missing child, computer screen, found footage, social media, missing daughter, mysterious, facebook, live stream, father daughter relationship, screenlife, asian american, distressing",en,Searching
Papillon,"Michael Noer (director); Aaron Guzikowski (screenplay); Charlie Hunnam, Rami Malek, Roland Møller, Yorick van Wageningen, Eve Hewson","Crime, Drama",1973,,"prison, escape, prison escape, jungle, solitary confinement, based on memoir or autobiography, remote island, leper colony, labor camp, corrupt official, french colonialism, devil's island, prison brutality, guyana, 1930s",en,Papillon
A.X.L.,"Oliver Daly (director/screenplay); Alex Neustaedter, Becky G, Alex MacNicoll, Dominic Rains, Thomas Jane","Science Fiction, Action, Adventure, Family",2018,,"friendship, technology, friends, robot, robot dog",en,A.X.L.
Operation Finale,"Chris Weitz (director); Matthew Orton (screenplay); Oscar Isaac, Ben Kingsley, Mélanie Laurent, Lior Raz, Nick Kroll, Haley Lu Richardson","Drama, History, Thriller",2018,,"israel, mossad, nazi, world war ii, biography, based on true story, argentina, nazi hunter, adolf eichmann's trial, spy thriller, nazi trials, post-war years",en,Operation Finale
Kin,"Jonathan Baker, Josh Baker (director/screenplay); Daniel Casey (screenplay); Myles Truitt, Jack Reynor, Zoë Kravitz, Carrie Coon, Dennis Quaid, James Franco","Science Fiction, Action, Adventure, Thriller",2018,,"brother, high technology, strip club, parole, detroit, michigan",en,Kin
Destination Wedding,"Victor Levin (director/screenplay); Winona Ryder, Keanu Reeves","Romance, Comedy, Drama",2018,,"california, cynic, pessimism, sex outdoors, wedding ceremony, aggressive, rehearsal dinner, irreverent, destination wedding, bitter, derisive, mean spirited, pessimistic",en,Destination Wedding
Reprisal,"Brian A. Miller (director); Bryce Hammons (screenplay); Bruce Willis, Frank Grillo, Johnathon Schaech, Olivia Culpo",,1997,,,en,Reprisal
The Nun,"Corin Hardy (director); Gary Dauberman (screenplay); Demián Bichir, Taissa Farmiga, Jonas Bloquet",Horror,2018,,"rome, italy, nun, supernatural, exorcism, father, priest, spirit, demon, spin off, evil nun, demonic possession, romania, murder mystery, ancient evil, the conjuring universe",en,The Nun
Peppermint,"Pierre Morel (director); Chad St. John (screenplay); Jennifer Garner, John Ortiz, John Gallagher Jr., Juan Pablo Raba, Tyson Ritter","Action, Thriller",2018,,"coma, widow, cemetery, handcuffs, fbi, bus, grave, alcoholism, flashback, revenge, murder, vigilante, drug cartel, police corruption, hospital, torture, skid row, corrupt official, loss of child, corrupt judge, driveby shooting",en,Peppermint
The Predator,"Shane Black (director/screenplay); Fred Dekker (screenplay); Boyd Holbrook, Trevante Rhodes, Jacob Tremblay, Keegan-Michael Key, Olivia Munn, Thomas Jane, Alfie Allen, Sterling K. Brown","Science Fiction, Action, Thriller",2018,,"predator, sequel, alien, creature, alien invasion, military, aggressive, intense",en,The Predator
A Simple Favor,"Paul Feig (director/screenplay); Jessica Sharzer (screenplay); Anna Kendrick, Blake Lively, Henry Golding, Andrew Rannells, Linda Cardellini, Rupert Friend, Jean Smart","Thriller, Crime, Comedy, Mystery",2018,,"small town, based on novel or book, widow, dark comedy, female friendship, life insurance, best friend, single mother, biting, missing person, shocking, satirical, vlogger, pathetic, hilarious, audacious, bold",en,A Simple Favor
White Boy Rick,"Yann Demange (director); Andy Weiss, Logan Miller, Noah Miller (screenplay); Matthew McConaughey, Richie Merritt, Bel Powley, Jennifer Jason Leigh, Brian Tyree Henry, Rory Cochrane, RJ Cyler, Jonathan Majors, Eddie Marsan, Bruce Dern, Piper Laurie","Crime, Drama",2018,,"war on drugs, drug trafficking, fbi, based on true story, informant, detroit, michigan, 1980s",en,White Boy Rick
Unbroken: Path to Redemption,"Harold Cronk (director); Richard Friedenberg, Ken Hixon (screenplay); Samuel Hunt, Merritt Patterson, Vanessa Bell Calloway, Bobby Campo, Maddalena Ischiale, David DeLuise, Bob Gunton, David Sakurai, Gary Cole, Will Graham",Drama,2018,,"post-traumatic stress disorder (ptsd), based on novel or book, faith, biography, sequel",en,Unbroken: Path to Redemption
The Children Act,"Richard Eyre (director); Ian McEwan (screenplay); Emma Thompson, Stanley Tucci, Fionn Whitehead",Drama,2018,,"based on novel or book, marriage crisis, law and ethics, young boy, lawyer, illness, religiosity, jehovah's witness",en,The Children Act
Lizzie,"Craig William Macneill (director); Bryce Kass (screenplay); Chloë Sevigny, Kristen Stewart, Jay Huguley, Jamey Sheridan, Fiona Shaw, Kim Dickens, Denis O'Hare, Jeff Perry",Drama,1957,,"parent child relationship, suicide attempt, hypnosis, multiple personality, spinster",en,Lizzie
Hell House LLC II: The Abaddon Hotel,"Stephen Cognetti (director/screenplay); Vasile Flutur, Jillian Geurts, Joy Shatz, Dustin Austen, Brian David Tracey","Horror, Mystery",2018,,"hotel, ghost hunting, found footage, clairvoyant, investigative journalism, television / tv studio",en,Hell House LLC II: The Abaddon Hotel
The House with a Clock in Its Walls,"Eli Roth (director); Eric Kripke (screenplay); Jack Black, Cate Blanchett, Owen Vaccaro, Renée Elise Goldsberry, Sunny Suljic, Kyle MacLachlan","Comedy, Fantasy, Family, Horror",2018,,"based on novel or book, clock, haunted house, uncle, pumpkin, orphan, warlock, secret passageway, 1950s, magician, amused",en,The House with a Clock in Its Walls
Life Itself,"Dan Fogelman (director/screenplay); Oscar Isaac, Olivia Wilde, Mandy Patinkin, Olivia Cooke, Laia Costa, Annette Bening, Antonio Banderas",Documentary,2014,,"husband wife relationship, movie business, pop culture, male friendship, biography, rehabilitation centre, interracial marriage, cancer, based on memoir or autobiography, film critic, crowdfunded film",en,Life Itself
The Sisters Brothers,"Jacques Audiard (director/screenplay); Thomas Bidegain (screenplay); John C. Reilly, Joaquin Phoenix, Jake Gyllenhaal, Riz Ahmed, Rutger Hauer","Western, Drama, Comedy",2018,,"gold, based on novel or book, hitman, san francisco, california, male friendship, gold rush, oregon, usa, scout, 19th century, gold claim, brother brother relationship",en,The Sisters Brothers
Assassination Nation,"Sam Levinson (director/screenplay); Odessa Young, Suki Waterhouse, Hari Nef, Abra, Anika Noni Rose, Colman Domingo, Maude Apatow, Bill Skarsgård, Joel McHale, Bella Thorne","Thriller, Horror, Comedy",2018,,"high school, patriotism, feminism, dark comedy, hysteria, revenge, social satire, female protagonist, hacking, american, home invasion, information leak, mass hysteria, social media, witch hunt, girl gang, social thriller, hack, generation z, mob, toxic masculinity, transgender, provocative, moral outrage",en,Assassination Nation
Little Italy,"Donald Petrie (director); Steve Galluccio, Vinay Virmani (screenplay); Emma Roberts, Hayden Christensen, Alyssa Milano, Adam Ferrara, Gary Basaraba, Linda Kash, Andrew Phung, Cristina Rosato, Danny Aiello, Andrea Martin, Jane Seymour","Comedy, Romance",2018,,love,en,Little Italy
Colette,"Wash Westmoreland (director/screenplay); Richard Glatzer, Rebecca Lenkiewicz (screenplay); Keira Knightley, Dominic West, Eleanor Tomlinson, Denise Gough, Aiysha Hart","Drama, History, Romance",2013,,"based on novel or book, holocaust (shoah)",cs,Colette
Fahrenheit 11/9,Michael Moore (director/screenplay/narrator),Documentary,2018,,"usa president, billionaire, flint michigan, school shooting",en,Fahrenheit 11/9
"Love, Gilda","Lisa D'Apolito (director); Gilda Radner, Amy Poehler, Melissa McCarthy, Bill Hader, Maya Rudolph, Lorne Michaels, Jordan Walker-Pearlman, Cecily Strong, Martin Short, Laraine Newman, Chevy Chase, Paul Shaffer, Stephen Schwartz, Andrew Alexander",Documentary,2018,,"biography, woman director",en,"Love, Gilda"
Smallfoot,"Karey Kirkpatrick (director/screenplay); Clare Sera (screenplay); Channing Tatum, James Corden, Zendaya, Common, LeBron James, Danny DeVito, Gina Rodriguez, Yara Shahidi, Ely Henry, Jimmy Tatro, Justin Roiland","Family, Animation, Adventure, Fantasy, Comedy",2018,,"nepal, himalaya mountain range, musical, yeti, anthropomorphism, snow, creature, based on children's book, aftercreditsstinger, duringcreditsstinger, plane crash",en,Smallfoot
Night School,"Malcolm D. Lee (director[177]); Kevin Hart, Harry Ratchford, Joey Wells, Matt Kellard, Nicholas Stoller,[178] John Hamburg (screenplay); Kevin Hart, Tiffany Haddish, Rob Riggle, Romany Malco",Comedy,2018,,"baseball bat, exam, car crash, dyslexia, teacher, prom, learning disability, night school, high school drop out, boxing ring",en,Night School
The Old Man & the Gun,"David Lowery (director/screenplay); Robert Redford, Casey Affleck, Danny Glover, Tika Sumpter, Tom Waits, Sissy Spacek","Comedy, Crime, Drama",2018,,"bank, fbi, texas, based on true story, heist, bank robbery, assumed identity, horse ranch, prison break, neo-noir, 1980s, septuagenarian, american midwest, based on magazine, newspaper or article, nonviolent offender, finger gun, smile",en,The Old Man & the Gun
Hell Fest,"Gregory Plotkin (director); Seth M. Sherwood, Blair Butler, Akela Cooper (screenplay); Amy Forsyth, Reign Edwards, Bex Taylor-Klaus, Christian James, Matt Mercurio, Roby Attal, Tony Todd","Horror, Thriller",2018,,"psychopath, halloween, serial killer, slasher, amusement park, psycho, halloween night",en,Hell Fest
Venom,"Ruben Fleischer (director); Jeff Pinkner, Scott Rosenberg, Kelly Marcel (screenplay); Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze, Reid Scott","Science Fiction, Action",2018,,"spacecraft, san francisco, california, superhero, anti hero, alien life-form, based on comic, aftercreditsstinger, duringcreditsstinger, business tycoon, symbiote, genetic experiment, venom",en,Venom
A Star Is Born,"Bradley Cooper (director/screenplay); Eric Roth, Will Fetters (screenplay); Bradley Cooper, Lady Gaga, Andrew Dice Clay, Dave Chappelle, Sam Elliott","Drama, Romance",1937,,"husband wife relationship, waitress, movie business, show business, alcoholism, hollywood, alcoholic, has been, movie star",en,A Star Is Born
The Great Buster: A Celebration,Peter Bogdanovich (director/screenplay),"Documentary, Comedy",2018,,"biography, silent film star, buster keaton",en,The Great Buster: A Celebration
First Man,"Damien Chazelle (director); Josh Singer (screenplay); Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler, Corey Stoll, Christopher Abbott, Ciarán Hinds","History, Drama",2018,,"moon, based on novel or book, sacrifice, nasa, wife, obsession, space travel, space mission, biography, engineer, based on true story, moon landing, space, cancer, astronaut, historical event, death of daughter, compromise, test pilot, 1960s, apollo program, america",en,First Man
Bad Times at the El Royale,"Drew Goddard (director/screenplay); Jeff Bridges, Cynthia Erivo, Dakota Johnson, Jon Hamm, Cailee Spaeny, Lewis Pullman, Chris Hemsworth","Thriller, Mystery, Crime, Drama",2018,,"vietnam war, post-traumatic stress disorder (ptsd), casino, hippie, audio tape, motel, jukebox, concierge, richard nixon, payphone, storm, vacuum cleaner, slot machine, ruse, motel room, neo-noir, 1960s, lake tahoe, ridiculous",en,Bad Times at the El Royale
Goosebumps 2: Haunted Halloween,"Ari Sandel (director); Rob Lieber (screenplay); Wendi McLendon-Covey, Madison Iseman, Jeremy Ray Taylor, Caleel Harris, Chris Parnell, Ken Jeong","Comedy, Fantasy, Horror",2018,,"halloween, sequel, based on children's book, glasses, horror for children, ventriloquist's dummy",en,Goosebumps 2: Haunted Halloween
Beautiful Boy,"Felix van Groeningen (director/screenplay); Luke Davies (screenplay); Steve Carell, Timothée Chalamet, Maura Tierney, Amy Ryan",Drama,2011,,"suicide, forgiveness, married couple, son, college, victim, grief, parenting, divorce, family, death, death in family, death of son, teen suicide, school shooting, mass shooting, death of a loved one",en,Beautiful Boy
The Oath,"Ike Barinholtz (director/screenplay); Ike Barinholtz, Tiffany Haddish, Nora Dunn, Chris Ellis, Jon Barinholtz, Meredith Hagner, Carrie Brownstein, Billy Magnussen, John Cho",Documentary,2010,,"terrorism, yemen, woman director, al qaeda, post 9/11",en,The Oath
Gosnell: The Trial of America's Biggest Serial Killer,"Nick Searcy (director); Andrew Klavan (screenplay); Earl Billings, Dean Cain, Sarah Jane Morris, Michael Beach, Nick Searcy","Drama, Crime",2018,,"philadelphia, pennsylvania, based on novel or book, based on true story, serial killer, abortion, independent film, anti abortion",en,Gosnell: The Trial of America's Biggest Serial Killer
After Everything,"Hannah Marks, Joey Power (directors/screenplay), Jeremy Allen White, Maika Monroe, DeRon Horton, Sasha Lane, Dean Winters, Joe Keery, Gina Gershon, Marisa Tomei","Comedy, Drama, Romance",2018,,"love, cancer, illness, bucket list",en,After Everything
Halloween,"David Gordon Green (director/screenplay); Jeff Fradley, Danny McBride (screenplay); Jamie Lee Curtis, Judy Greer, Andi Matichak, Will Patton, Virginia Gardner","Horror, Thriller",1978,,"mask, police, halloween, babysitter, marijuana, stalking, serial killer, maniac, killing spree, family, evil, psychotic, escaped killer",en,Halloween
The Hate U Give,"George Tillman Jr. (director); Audrey Wells (screenplay); Amandla Stenberg, Regina Hall, Russell Hornsby, KJ Apa, Sabrina Carpenter, Common, Anthony Mackie","Crime, Drama",2018,,"high school, based on novel or book, trauma, protest, riot, teenage girl, racism, police officer, blunt, preparatory school, racial profiling, generation z, based on young adult novel",en,The Hate U Give
Can You Ever Forgive Me?,"Marielle Heller (director); Nicole Holofcener, Jeff Whitty (screenplay); Melissa McCarthy, Richard E. Grant","Drama, Crime, Comedy, History",2018,,"new york city, based on novel or book, cat, biography, based on true story, author, alcoholic, woman director, forgery, female writer",en,Can You Ever Forgive Me?
Mid90s,"Jonah Hill (director/screenplay); Sunny Suljic, Lucas Hedges, Na-Kel Smith, Olan Prenatt, Gio Galicia, Ryder McLaughlin, Alexa Demie, Katherine Waterston","Drama, Comedy",2018,,"california, skateboarding, dysfunctional family, coming of age, los angeles, california, misogyny, 1990s, skate punk, reflective, toxic masculinity, gay theme, teenager, comforting",en,Mid90s
Wildlife,"Paul Dano (director/screenplay); Zoe Kazan (screenplay); Carey Mulligan, Jake Gyllenhaal, Ed Oxenbould, Bill Camp",Drama,2018,,"infidelity, fire, based on novel or book, montana, bus, golf, teenage boy, 1960s, wildfire",en,Wildlife
What They Had,"Elizabeth Chomko (director/screenplay); Hilary Swank, Michael Shannon, Robert Forster, Blythe Danner",Drama,2018,,"alzheimer's disease, snow, blizzard, woman director, mother daughter relationship",en,What They Had
My Dinner with Hervé,"Sacha Gervasi (director/screenplay); Peter Dinklage, Jamie Dornan, Andy García, Mireille Enos, Oona Chaplin, Harriet Walter, David Strathairn, Daniel Mays, Alex Gaumond, Félicité Du Jeu, Wallace Langham, Mark Povinelli, Helena Mattsson, Alan Ruck, Michael Elwyn, Ashleigh Brewer, Mark Umbers, Robert Curtis Brown, Sabina Franklyn, Savannah Stevenson","Drama, TV Movie",2018,,biography,en,My Dinner with Hervé
Hunter Killer,"Donovan Marsh (director); Arne Schmidt, Jamie Moss (screenplay); Gerard Butler, Gary Oldman, Common, Linda Cardellini, Toby Stephens","Action, Adventure, Thriller",2018,,"sniper, washington dc, usa, submarine, pentagon, u.s. navy, special forces, russian army, naval base, russian president, post cold war",en,Hunter Killer
Johnny English Strikes Again,"David Kerr (director); William Davies (screenplay); Rowan Atkinson, Ben Miller, Olga Kurylenko, Jake Lacy, Emma Thompson","Action, Adventure, Comedy",2018,,"spy, parody, sequel, slapstick comedy",en,Johnny English Strikes Again
Suspiria,"Luca Guadagnino (director); David Kajganich (screenplay); Dakota Johnson, Tilda Swinton, Mia Goth, Angela Winkler, Ingrid Caven, Elena Fokina, Sylvie Testud, Renée Soutendijk, Christine LeBoutte, Fabrizia Sacchi, Małgosia Bela, Jessica Harper, Chloë Grace Moretz","Horror, Mystery, Drama",2018,,"berlin, germany, dance performance, berlin wall, telepathy, 1970s, fascism, paranormal phenomena, telekinesis, remake, ballet, female protagonist, demon, choreographer, witchcraft, occult, living dead, ritual sacrifice, dual role, choreography, ballet school, spiritualism, dance company, meditative, disturbed, aggressive, psychotherapist, desperate, mysterious events, complex, good versus evil, provocative, depressing, exuberant, foreboding",en,Suspiria
Indivisible,"David G. Evans (director/screenplay); Cheryl McKay, Peter White (screenplay); Sarah Drew, Justin Bruening, Eddie Kaulukukui, Jason George, Madeline Carroll, Tanner Stine, Michael O'Neal, Tia Mowry, Eric Close","Drama, War",2018,,"army, faith, god, iraq war, chaplain, christian film",en,Indivisible
Bullitt County,"David McCracken (director/screenplay); Mike C. Nelson, Jenni Melear, David McCracken, Napoleon Ryan, Richard Riehle, Dorothy Lyman","Action, Drama, Thriller",2018,,"1970s, camping, kentucky, wilderness, autumn, buried treasure, bachelor party",en,Bullitt County
Bohemian Rhapsody,"Bryan Singer[a] (director); Anthony McCarten (screenplay); Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy, Joseph Mazzello, Aidan Gillen, Tom Hollander, Mike Myers","Music, Drama",2018,,"london, england, aids, musician, 1970s, biography, based on true story, singer, hiv, male homosexuality, fame, rock band, lgbt, 1980s, wonder, gay theme",en,Bohemian Rhapsody
The Nutcracker and the Four Realms,"Lasse Hallström, Joe Johnston (director); Ashleigh Powell (screenplay); Keira Knightley, Mackenzie Foy, Eugenio Derbez, Matthew Macfadyen, Richard E. Grant, Misty Copeland, Helen Mirren, Morgan Freeman","Fantasy, Adventure, Family",2018,,"princess, magic, fairy tale, betrayal, magical object, based on short story, christmas",en,The Nutcracker and the Four Realms
Nobody's Fool,"Tyler Perry (director/screenplay); Tiffany Haddish, Tika Sumpter, Omari Hardwick, Mehcad Brooks, Amber Riley, Whoopi Goldberg","Drama, Comedy",1994,,"small town, illegal employment, retirement, new york state",en,Nobody's Fool
Boy Erased,"Joel Edgerton (director/screenplay); Lucas Hedges, Nicole Kidman, Joel Edgerton, Joe Alwyn, Xavier Dolan, Troye Sivan, Cherry Jones, Flea, Russell Crowe",Drama,2018,,"homophobia, based on true story, coming of age, religion, based on memoir or autobiography, lgbt, lgbt teen, college student, dread, conversion therapy, gay theme, cruel",en,Boy Erased
The Other Side of the Wind,"Orson Welles (director/screenplay); Oja Kodar (screenplay); John Huston, Oja Kodar, Peter Bogdanovich, Susan Strasberg, Norman Foster, Bob Random, Lilli Palmer, Edmond O'Brien, Mercedes McCambridge, Cameron Mitchell, Paul Stewart, Gregory Sierra, Tonio Selwart, Dan Tobin, Joseph McBride, Dennis Hopper",Drama,2018,,"1970s, satire, comeback, parody, mockumentary, film in film, hollywood, director, filmmaking, death",en,The Other Side of the Wind
A Private War,"Matthew Heineman (director); Arash Amel (screenplay); Rosamund Pike, Jamie Dornan, Tom Hollander, Stanley Tucci","Drama, War",2018,,"journalist, palestinian-israeli conflict, war correspondent, biography, syria, based on magazine, newspaper or article",en,A Private War
Prospect,"Zeek Earl, Chris Caldwell (director/screenplay); Pedro Pascal, Sophie Thatcher, Jay Duplass",Science Fiction,2018,,"survival, alien planet, space western, natural resources, father daughter relationship, giant forest, toxic atmosphere",en,Prospect
Bodied,"Joseph Kahn (director); Kid Twist (screenplay); Calum Worthy, Jackie Long, Rory Uphold, Dumbfoundead, Walter Perez, Shoniqua Shandai, Charlamagne tha God, Dizaster, Hollow da Don, Loaded Lux, Debra Wilson, Anthony Michael Hall","Drama, Comedy, Music",2018,,"rap music, hip-hop, cat, college, thesis, battle rap",en,Bodied
The Front Runner,"Jason Reitman (director/screenplay); Matt Bai, Jay Carson (screenplay); Hugh Jackman, Vera Farmiga, J. K. Simmons, Alfred Molina","Drama, History",2018,,"politics, senator, colorado, politician, biography, based on true story, scandal, love affair, presidential campaign, 1980s",en,The Front Runner
The Grinch,"Scott Mosier, Yarrow Cheney (directors); Michael LeSieur, Tommy Swerdlow (screenplay); Benedict Cumberbatch, Rashida Jones, Kenan Thompson, Angela Lansbury, Pharrell Williams","Family, Fantasy, Comedy, Animation",2018,,"holiday, surrealism, remake, based on children's book, christmas, illumination",en,The Grinch
