Title,Cast and crew,genres,title_year,imdb_score,plot_keywords,language,movie_title
The House of Tomorrow,"Peter Livolsi (director/screenplay); Ellen Burstyn, Nick Offerman, Asa Butterfield, Alex Wolff, Maude Apatow, Michaela Watkins","Drama, Comedy",2019,,,en,The House of Tomorrow
Avengers: Infinity War,"Russo brothers (directors); Christopher Markus, Stephen McFeely (screenplay); Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Benedict Cumberbatch, Don Cheadle, Tom Holland, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Anthony Mackie, Sebastian Stan, Danai Gurira, Letitia Wright, Dave Bautista, Zoe Saldaña, Josh Brolin, Chris Pratt","Adventure, Action, Science Fiction",2018,,"sacrifice, magic, superhero, based on comic, space, battlefield, genocide, magical object, super power, superhero team, aftercreditsstinger, marvel cinematic universe (mcu), cosmic",en,Avengers: Infinity War
Disobedience,"Sebastián Lelio (director/screenplay); Rebecca Lenkiewicz (screenplay); Rachel Weisz, Rachel McAdams, Alessandro Nivola","Drama, Romance",2018,,"forbidden love, lgbt, childhood friends, jewish culture, orthodox jewish, jewish lgbt, lesbian, return to hometown",en,Disobedience
Backstabbing for Beginners,"Per Fly (director/screenplay); Daniel Pyne (screenplay); Theo James, Ben Kingsley, Belçim Bilgin, Jacqueline Bisset","Thriller, Drama, History",2018,,"conspiracy, united nations",en,Backstabbing for Beginners
Kings,"Deniz Gamze Ergüven (director/screenplay); Halle Berry, Daniel Craig","Romance, Drama, Crime",2017,,"police, riot, neighbor, stealing, los angeles, california, handcuffed, death, shoplifting, woman director, video tape, 1990s",en,Kings
Overboard,"Rob Greenberg (director); Bob Fisher, Leslie Dixon (screenplay); Eugenio Derbez, Anna Faris, Eva Longoria, Mel Rodriguez, Cecilia Suárez, Mariana Treviño, Fernando Luján, John Hannah","Romance, Comedy",2018,,"amnesia, remake, revenge, wealthy, rich",en,Overboard
Tully,"Jason Reitman (director); Diablo Cody (screenplay); Charlize Theron, Mackenzie Davis, Ron Livingston, Mark Duplass","Comedy, Drama",2018,,"new york city, baby, husband wife relationship, parent child relationship, pregnancy, autism, bisexuality, nanny, melancholy, motherhood, postpartum depression, optimistic",en,Tully
Bad Samaritan,"Dean Devlin (director); Brandon Boyce (screenplay); David Tennant, Robert Sheehan, Carlito Olivero, Kerry Condon, Jacqueline Byers","Thriller, Crime, Horror, Drama",2018,,"police, fbi, portland, oregon, oregon, usa, murder, serial killer, cabin, captive, cynical, valet, trust fund, facebook, burglars, suspenseful",en,Bad Samaritan
The Cleanse,"Bobby Miller (director/screenplay); Johnny Galecki, Anna Friel, Oliver Platt, Anjelica Huston, Kyle Gallner, Kevin J. O'Connor, Diana Bang","Drama, Comedy, Fantasy, Horror",2018,,creature feature,en,The Cleanse
RBG,Betsy West (director); Julie Cohen (director); Ruth Bader Ginsburg; Jane Ginsburg; James Steven Ginsburg; Nina Totenberg; Gloria Steinem,Documentary,2018,,"biography, supreme court, woman director, supreme court justice",en,RBG
Life of the Party,"Ben Falcone (director/screenplay); Melissa McCarthy (screenplay); Melissa McCarthy, Gillian Jacobs, Maya Rudolph, Julie Bowen, Matt Walsh, Molly Gordon, Stephen Root, Jacki Weaver",Comedy,2018,,"daughter, college, housewife",en,Life of the Party
Breaking In,"James McTeigue (director); Ryan Engle (screenplay); Gabrielle Union, Billy Burke, Richard Cabral, Ajiona Alexus, Levi Meaden, Jason Winston George, Seth Carr, Christa Miller","Action, Adventure, Comedy, Crime",1989,,"thief, gentle",en,Breaking In
The Seagull,"Michael Mayer (director); Stephen Karam (screenplay); Annette Bening, Saoirse Ronan, Corey Stoll, Elisabeth Moss, Mare Winningham, Jon Tenney, Glenn Fleshler, Michael Zegen, Billy Howle, Brian Dennehy","Drama, Romance, Comedy",2018,,"love triangle, based on play or musical, 19th century",en,The Seagull
