genres,title_year,imdb_score,plot_keywords,language,movie_title,director_name,actor_1_name,actor_2_name,actor_3_name
"Comedy, Family, Animation",2021,5.3,"aftercreditsstinger, live action and animation",English,Tom & Jerry,Tim Story,Chloë Grace Moretz,Michael Peña,Colin Jost
"Music, Drama, History",2021,6.3,"war on drugs, new orleans, louisiana, jazz singer or musician, ban from profession, biography, surveillance, heroin addiction, 1940s, 1950s, fbi agent",English,The United States vs. Billie Holiday,Lee Daniels,Andra Day,Trevante Rhodes,Garrett Hedlund
"Crime, Drama, Thriller",1950,6.7,"brain tumor, vacation, dictatorship, doctor, brain surgeon",English,Crisis,Nicholas Jarecki,Gary Oldman,Armie Hammer,Evangeline Lilly
"Documentary, Music",2021,7.7,"musician, pop star, coming of age, singer, tourette syndrome, teenage girl, family, aftercreditsstinger, feelings, music documentary, coachella, billie eilish",English,Billie Eilish: The World's a Little Blurry,R. J. Cutler,Billie Eilish,Finneas O'Connell,Maggie Baird
"Horror, Mystery",2020,5.8,"new york city, haunted house, evil spirit, spirit, demon, ghost, jewish, mazzikin",English,The Vigil,Keith Thomas,Dave Davis,Menashe Lustig,Malky Goldman
"Comedy, Drama, Music",2021,6.7,"based on novel or book, woman director",English,Moxie,Amy Poehler,Hadley Robinson,Lauren Tsai,Patrick Schwarzenegger
Comedy,2021,5.3,"africa, prince, heir to the throne, sequel, mischievous, dramatic",English,Coming 2 America,Craig Brewer,Eddie Murphy,Arsenio Hall,Jermaine Fowler
"Family, Comedy, Adventure, Animation",2020,5.9,"part live action, based on tv series",English,The SpongeBob Movie: Sponge on the Run,Tim Hill,Tom Kenny,Awkwafina,Matt Berry
"Animation, Family, Fantasy, Action, Adventure",2021,7.3,"kung fu, sword, warrior woman, female protagonist, dragon, vietnamese, south asian, warrior",English,Raya and the Last Dragon,Don Hall,Kelly Marie Tran,Awkwafina,Izaac Wang
"Fantasy, Science Fiction, Adventure",2021,5.7,"based on novel or book, dystopia, post-apocalyptic future, unassuming, based on young adult novel, derisive",English,Chaos Walking,Doug Liman,Daisy Ridley,Tom Holland,Mads Mikkelsen
"Action, Science Fiction, Thriller",2021,6.8,"video game, time loop, philosophical, satirical, absurd, audacious, defiant, scathing",English,Boss Level,Joe Carnahan,Frank Grillo,Mel Gibson,Naomi Watts
Drama,2021,5.2,"new york city, basketball, coming of age",English,Boogie,Eddie Huang,Taylor Takahashi,Taylour Paige,Jorge Lendeborg Jr.
"Romance, Comedy",2021,6.2,whirlwind romance,English,Long Weekend,Steve Basilone,Finn Wittrock,Zoë Chao,Casey Wilson
"Science Fiction, Action, Adventure",2021,2.5,"space battle, space war, space colony, alien contact, future war, alien race, alien space craft, human vs alien, alien attack",English,Cosmic Sin,Edward Drake,Bruce Willis,Frank Grillo,Brandon Thomas Lee
"Action, Adventure, Fantasy",2021,7.9,"saving the world, superhero, resurrection, based on comic, superhero team, planet invasion, shocking, action hero, dc extended universe (dceu), superhero teamup",English,Zack Snyder's Justice League,Zack Snyder,Ben Affleck,Henry Cavill,Amy Adams
"Action, Crime",2012,4.5,"amnesia, new orleans, louisiana, briefcase, arrest, flashback, revenge, extortion, shootout, las vegas, st. louis, missouri",English,The Courier,Dominic Cooke,Benedict Cumberbatch,Merab Ninidze,Rachel Brosnahan
"Comedy, Romance, Science Fiction, Thriller",2021,5.3,"jealousy, married couple, dark comedy, sexual attraction, writer, lust, sexual desire, envy, group of friends, mysterious stranger, resentment, cocktail party, annoying, strange, long term relationship, unnatural, perfect life, perfect match, perfect relationship, sexual appetite, public displays of affection (pda)",English,Happily,BenDavid Grabinski,Joel McHale,Kerry Bishé,Stephen Root
"Action, Thriller",2021,7.4,"assassin, double life, fight, midlife crisis, bratva (russian mafia), secret organization, thief, home invasion, family, brawl, duringcreditsstinger, aggressive, tense",English,Nobody,Ilya Naishuller,Bob Odenkirk,Connie Nielsen,Aleksei Serebryakov
Horror,2021,4.5,"training, priest, demon, exorcist, demonic possession, family killed",English,The Seventh Day,Justin P. Lange,Guy Pearce,Vadhir Derbez,Stephen Lang
"Comedy, Drama",2021,5.9,"skateboarding, coming of age, father son relationship",English,North Hollywood,Mikey Alfred,Ryder McLaughlin,Vince Vaughn,Miranda Cosgrove
"Comedy, Drama",2021,5.5,"radio station, denver, colorado, based on true story, 1980s",English,Shoplifters of the World,Stephen Kijak,Helena Howard,Ellar Coltrane,Elena Kampouris
"Action, Science Fiction, Adventure",2021,6.3,"giant monster, dinosaur, creature feature, kaiju, sign languages, giant ape, godzilla, robot dinosaur, crossover, king kong",English,Godzilla vs. Kong,Adam Wingard,Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall
"Horror, Mystery",2021,5.1,"witch, melancholy, demon, mysterious, shocking, zealous, somber, religious horror, wonder, suspicious, inspirational, adoring, ambiguous, antagonistic, approving, audacious, melodramatic",English,The Unholy,Evan Spiliotopoulos,Jeffrey Dean Morgan,Katie Aselton,William Sadler
"Thriller, Mystery",2021,5.4,"psychiatrist, mental patient, psychiatric treatment",English,Every Breath You Take,Vaughn Stein,Casey Affleck,Sam Claflin,Veronica Ferres
"Comedy, Drama",2021,7.1,"new york city, parent child relationship, ex-girlfriend, bisexuality, jewish life, coming of age, jewish american, lgbt, jewish girl, woman director, jewish culture, college student, candid, sugar daddy, anxious, playful, mourning ritual, based on short, intimate, cringe comedy, witty, hilarious, romantic",English,Shiva Baby,Emma Seligman,Rachel Sennott,Molly Gordon,Polly Draper
"Family, Drama",2021,6.0,"god, believe, christian, miracles",English,The Girl Who Believes in Miracles,Richard Correll,Mira Sorvino,Austyn Johnson,Kevin Sorbo
Drama,2001,7.1,"new york city, skinhead, bomb, psychopath, world war ii, jewish life, synagogue, vandalism, judaism, antisemitism, reporter, bomb planting, hatred, self-loathing, nazism",English,The Believer,Shan Serafin,Aidan Bristow,Sophie Kargman,Susan Wilder
"Science Fiction, Thriller",2021,5.5,"space travel, sexual tension, space, sexual behavior",English,Voyagers,Neil Burger,Tye Sheridan,Lily-Rose Depp,Fionn Whitehead
"Comedy, Action, Adventure, Science Fiction",2021,4.6,"superhero, parody, trueno, patrulla",English,Thunder Force,Ben Falcone,Melissa McCarthy,Octavia Spencer,Bobby Cannavale
"Animation, Comedy, Family",2021,6.4,"musical, chubby woman, half breed",English,Arlo the Alligator Boy,Ryan Crego,Michael J. Woodard,Mary Lambert,Haley Tju
"Drama, Romance",2020,5.7,"expatriate, self destructiveness",English,Monday,Argyris Papadimitropoulos,Sebastian Stan,Denise Gough,Yorgos Pirpassopoulos
"Horror, Science Fiction, Thriller",2021,5.1,"experiment, tent, wilderness, forest, scientist, alchemy, scout, folklore, virus",English,In the Earth,Ben Wheatley,Joel Fry,Reece Shearsmith,Hayley Squires
"Science Fiction, Drama, Thriller, Adventure",2021,5.7,"space travel, space, astronaut, space adventure",English,Stowaway,Joe Penna,Anna Kendrick,Daniel Dae Kim,Shamier Anderson
"Action, Fantasy, Adventure",2021,6.1,"saving the world, magic, ninja fighter, god, alternate dimension, shaolin monk, fighting, based on video game, martial arts tournament, hand to hand combat",English,Mortal Kombat,Simon McQuoid,Lewis Tan,Jessica McNamee,Josh Lawson
"Drama, Comedy, Romance",2016,6.2,"swimming, woman director",French,Together Together,Nikole Beckwith,Ed Helms,Patti Harrison,Tig Notaro
Horror,2021,5.3,"based on novel or book, bulimia, haunted house, fraud, ghost, troubled marriage, eating disorder, dark secret, 1980s, toxic masculinity",English,Things Heard & Seen,Shari Springer Berman and Robert Pulcini,Amanda Seyfried,James Norton,Natalia Dyer
