genres,title_year,imdb_score,plot_keywords,language,movie_title,director_name,actor_1_name,actor_2_name,actor_3_name
"History, Drama, Action",2021,6.9,"underdog, based on novel or book, sports, war veteran, american football, orphanage, american football coach, great depression, based on true story, flashback, orphan, child labor, inspiring story, dust bowl, aftercreditsstinger, 1940s, 1930s, group home",English,12 Mighty Orphans,Ty Roberts,Luke Wilson,Vinessa Shaw,Wayne Knight
"Romance, Comedy, Drama",2021,6.4,"control freak, forgetful fire, repairing family connections",English,Queen Bees,Michael Lembeck,Ellen Burstyn,James Caan,Ann-Margret
"Action, Comedy, Crime, Thriller",2021,6.1,"hitman, bodyguard, sequel, aftercreditsstinger, duringcreditsstinger",English,Hitman's Wife's Bodyguard,Patrick Hughes,Ryan Reynolds,Samuel L. Jackson,Salma Hayek
"Animation, Comedy, Fantasy, Adventure, Family",2021,7.4,"friendship, monster, italy, villain, coming of age, friends, bromance, sea monster, vespa, aftercreditsstinger, seaside town, 1950s, pasta, water, italian riviera, pesto",English,Luca,Enrico Casarosa,Jacob Tremblay,Jack Dylan Grazer,Emma Berman
"Drama, Comedy",2021,6.6,"baby, parenthood, fatherhood, social comedy",English,Fatherhood,Paul Weitz,Kevin Hart,Alfre Woodard,Lil Rel Howery
Documentary,2021,7.7,depressed,English,Rita Moreno: Just a Girl Who Decided to Go for It,Mariem Pérez Riera,Rita Moreno,Eva Longoria,George Chakiris
"Comedy, Romance",2021,5.6,"fake identity, liar, love, relationship, doubts, lies, stand-up comedian",English,Good on Paper,Kimmy Gatewood,Iliza Shlesinger,Ryan Hansen,Margaret Cho
"Action, Adventure, Crime",2021,5.2,"speed, family relationships, sequel, duringcreditsstinger, fast car, brother brother relationship, farcical",English,F9,Justin Lin,Vin Diesel,John Cena,Michelle Rodriguez
"Action, Thriller",2021,5.6,"truck, truck driver, mine explosion, manitoba, ice road",English,The Ice Road,Jonathan Hensleigh,Liam Neeson,Benjamin Walker,Amber Midthunder
"Horror, Comedy",2021,6.0,"hotel, isolation, transformation, snowstorm, forest ranger, murder, werewolf, whodunit, power outage, based on video game, blizzard, lycanthrope, pipeline",English,Werewolves Within,Josh Ruben,Sam Richardson,Milana Vayntrub,George Basil
"Horror, Mystery, Thriller",2021,4.6,pregnancy,English,False Positive,John Lee,Ilana Glazer,Justin Theroux,Sophia Bush
"Crime, Drama, Thriller",2021,6.2,"gangster, crime boss, mafia boss, organized crime, questioning, crime syndicate, meyer lansky, lansky, meier suchowlański vel lansky, meier suchowlański, arrogant, cruel, enraged",English,Lansky,Eytan Rockaway,Harvey Keitel,Sam Worthington,AnnaSophia Robb
Drama,2021,6.7,"immigrant, identity, border, american dream, longing, migration, chef, lgbt, love story, memories, gay theme, boys' love (bl)",Spanish,I Carry You with Me,Heidi Ewing,Armando Espitia,Christian Vázquez,Michelle Rodríguez
"Animation, Action, Comedy",2021,5.6,"adult animation, american revolution",English,America: The Motion Picture,Matt Thompson,Channing Tatum,Jason Mantzoukas,Olivia Munn
"Comedy, Crime",2021,6.4,"florida, waitress, narration, stripper, based on true story, pole dancer, boyfriend, twitter, road movie, woman director, sex worker, tampa, florida, euphoric",English,Zola,Janicza Bravo,Taylour Paige,Riley Keough,Nicholas Braun
"Crime, Thriller",2021,6.4,"detective, safe, money, organized crime, gang, detroit, michigan, 1950s, job",English,No Sudden Move,Steven Soderbergh,Don Cheadle,Benicio del Toro,David Harbour
"Action, Science Fiction, Adventure",2021,6.6,"world cup, time travel, global warming, glacier, alien, alien invasion, military, future war, nostalgic, father son reunion, hope for future, changing the past or future, message from the future, father son relationship, father daughter relationship, world war, suspenseful",English,The Tomorrow War,Chris McKay,Chris Pratt,Yvonne Strahovski,J. K. Simmons
"Animation, Comedy, Adventure, Family",2021,5.9,"baby, boss, sequel, sibling, family",English,The Boss Baby: Family Business,Tom McGrath,Alec Baldwin,James Marsden,Amy Sedaris
"Action, Horror, Thriller",2021,5.4,"texas, sequel, prequel, murder, desert, purge, family surviving alone, guns and weapons",English,The Forever Purge,Everardo Gout,Ana de la Reguera,Tenoch Huerta,Josh Lucas
"Horror, Mystery",2021,6.2,"witch, based on novel or book, shopping mall, murder, curse, teenage girl, slasher, drugs, witchcraft, lgbt, aggressive, 1990s, ghoulish, teen scream",English,Fear Street Part One: 1994,Leigh Janiak,Kiana Madeira,Olivia Scott Welch,Benjamin Flores Jr.
"Music, Documentary, History",2021,8.0,"jazz, empowerment, blues, civil rights, rhythm and blues (r&b), music festival, summer, concert film, harlem, new york city, 1960s, funk music, african american history, soul music, black power, black music",English,Summer of Soul,Questlove,Stevie Wonder,Nina Simone,Sly and the Family Stone
"Horror, Romance, Drama",1978,5.3,"depression, soulmates, loss of loved one, cemetery, crypt, zombie, car accident, life after death, prophetic dreams",English,Till Death,S.K. Dale,Megan Fox,Eoin Macken,Callan Mulvey
"Science Fiction, Thriller, Horror",2021,4.4,"small town, paranormal, teen movie, missing person, mystery",English,Let Us In,Craig Moss,Mackenzie Moss,Sadie Stanley,Mackenzie Ziegler
"Action, Adventure, Science Fiction",2021,6.6,"assassin, hero, spy, kgb, based on comic, female assassin, female spy, female hero, aftercreditsstinger, marvel cinematic universe (mcu), woman director",English,Black Widow,Cate Shortland,Scarlett Johansson,Florence Pugh,David Harbour
"Horror, Mystery",2021,6.7,"based on novel or book, summer camp, 1970s, curse, teenage girl, slasher, witchcraft, sister sister relationship",English,Fear Street Part Two: 1978,Leigh Janiak,Sadie Sink,Emily Rudd,Ryan Simpkins
"Drama, Romance",1955,7.1,"venice, italy, gondola, longing, sightseeing, vacation, love, young boy, loneliness, attraction, canal, american tourist, lonely woman",English,Summertime,Carlos López Estrada,Tyris Winter,Marquesha Babers,Maia Mayor
"Action, Crime, Thriller",2021,6.1,"assassin, hitwoman, mother daughter estrangement, playful",English,Gunpowder Milkshake,Navot Papushado,Karen Gillan,Lena Headey,Carla Gugino
"Family, Comedy, Adventure, Animation, Science Fiction",2021,4.5,"sports, cartoon, basketball, game, live action and animation",English,Space Jam: A New Legacy,Malcolm D. Lee,LeBron James,Don Cheadle,Khris Davis
"Horror, Thriller, Mystery",2021,5.7,"sequel, no escape, escape room, death game",English,Escape Room: Tournament of Champions,Adam Robitel,Taylor Russell,Logan Miller,Indya Moore
"Mystery, Horror",2021,6.6,"based on novel or book, curse, teenage girl, witchcraft, witch hunt, 17th century, 1990s",English,Fear Street Part Three: 1666,Leigh Janiak,Kiana Madeira,Ashley Zukerman,Gillian Jacobs
"Drama, Mystery, Thriller",2021,6.9,"expensive restaurant, pig, loss of loved one, portland, oregon, misanthrophy, grief, cabin in the woods, chef, loss of pet, loner, grieving, pets, truffles, depressing",English,Pig,Michael Sarnoski,Nicolas Cage,Alex Wolff,Adam Arkin
"Science Fiction, Thriller, Mystery, Action, Adventure",2018,5.1,"chicago, illinois, lightning, pregnancy, seattle, washington, volcano, earthquake, tsunami, road trip, murder, apocalypse, power outage",English,How It Ends,Daryl Wein,Zoe Lister-Jones,Cailee Spaeny,Olivia Wilde
"Animation, Fantasy, Family, Action, Adventure",2021,6.6,tales of arcadia,English,Trollhunters: Rise of the Titans,Johane Matte,Emile Hirsch,Lexi Medrano,Charlie Saxton
"Thriller, Crime, Mystery",1998,6.1,"assassination, casino, gambling, political activism, naval officer, atlantic city, bribery, homicide detective, secretary of defense, whistleblower, corrupt cop, boxing match, navy commander, admiring, adoring, ambiguous, amused, dubious",English,Snake Eyes,Robert Schwentke,Henry Golding,Andrew Koji,Úrsula Corberó
"Thriller, Mystery, Horror",2021,5.8,"beach, husband wife relationship, schizophrenia, escape, time warp, rapper, coral reef, deception, time, aging, loss of virginity, trap, murder, corpse, family vacation, family, based on graphic novel, family holiday, death, existentialism, sickness, mortality, time-manipulation, radical transformation, secluded beach, human experiment, brother sister relationship, medical experiment, experimental drug, secret experiment, body horror, vacation gone wrong, baffled, frightened",English,Old,M. Night Shyamalan,Gael García Bernal,Vicky Krieps,Rufus Sewell
Drama,2020,6.2,"high school, suicide, writing, cheerleader, melancholy, bullying, based on true story, flashback, flash forward, high school student, teenage sexuality, lgbt, grieving father, teenage son, anti-bullying, gay youth, gay theme, depressing, empathetic, tragic",English,Joe Bell,Reinaldo Marcus Green,Mark Wahlberg,Reid Miller,Connie Britton
"Action, Thriller",2021,5.6,woman director,English,Jolt,Tanya Wexler,Kate Beckinsale,Bobby Cannavale,Laverne Cox
"Crime, Mystery, Thriller, Action",2021,4.6,"fbi, texas ranger, based on true story, serial killer, truck stop",English,Midnight in the Switchgrass,Randall Emmett,Megan Fox,Bruce Willis,Emile Hirsch
"Fantasy, Adventure",2021,6.6,"jungle, riverboat, 1910s, amazon river, based on theme park ride",English,Jungle Cruise,Jaume Collet-Serra,Dwayne Johnson,Emily Blunt,Édgar Ramírez
"Mystery, Thriller",2018,5.1,"camping, killer",English,Stillwater,Tom McCarthy,Matt Damon,Camille Cottin,Abigail Breslin
"Adventure, Drama, Fantasy",2021,6.6,"winter, fox, camelot, king arthur, middle ages (476-1453), excalibur, knights of the round table, aftercreditsstinger, decapitated head, based on myths, legends or folklore, christmas, quest, myth, gawain, medieval knight",English,The Green Knight,David Lowery,Dev Patel,Alicia Vikander,Joel Edgerton
"Comedy, Drama",2021,6.3,"yosemite, inheritance, death of mother, rekindled romance, mother son relationship, mother son estrangement",English,Ride the Eagle,Trent O'Donnell,Jake Johnson,D'Arcy Carden,J.K. Simmons
"Action, Comedy, Adventure",2021,7.2,"monster, secret mission, superhero, anti hero, giant monster, gore, based on comic, alien, betrayal, alien invasion, convict, parasite, super villain, world domination, aftercreditsstinger, aggressive, dc extended universe (dceu), absurd, suspenseful, character deaths, hilarious, intense, antagonistic, excited",English,The Suicide Squad,James Gunn,Idris Elba,Margot Robbie,John Cena
"Crime, Drama",2021,4.9,"based on novel or book, drug crime, heist, courtroom, nypd, bronx, new york city, public defender, mexican cartel, defense lawyer",English,Naked Singularity,Chase Palmer,John Boyega,Olivia Cooke,Bill Skarsgård
"Drama, Thriller, Horror",2021,5.2,"massachusetts, bunker, family relationships, coming of age, teenage boy, based on short story, abduction",English,John and the Hole,Pascual Sisto,Charlie Shotwell,Michael C. Hall,Jennifer Ehle
"Animation, Family, Comedy",2021,6.7,"musical, monkey, animals",English,Vivo,Kirk DeMicco,Lin-Manuel Miranda,Ynairaly Simo,Zoe Saldana
"Comedy, Drama",2021,7.0,"small town, hairdresser, funeral, nursing home, lgbt, 1990s, gay theme, comforting, joyful",English,Swan Song,Todd Stephens,Udo Kier,Jennifer Coolidge,Linda Evans
"Romance, Comedy",2021,4.8,"based on novel or book, college, sequel, summer",English,The Kissing Booth 3,Vince Marcello,Joey King,Joel Courtney,Jacob Elordi
"Comedy, Adventure, Science Fiction",2021,7.1,"hero, artificial intelligence (a.i.), video game, virtual reality, gun, code, gamer, bank robbery, bank teller, programmer, mmorpg, heroic, lighthearted, vrmmo",English,Free Guy,Shawn Levy,Ryan Reynolds,Jodie Comer,Lil Rel Howery
"Drama, Music, History",2021,6.6,"pop singer, biography, african american history, african american, african american musician",English,Respect,Liesl Tommy,Jennifer Hudson,Forest Whitaker,Marlon Wayans
"Crime, Mystery, Thriller",2021,5.7,"greece, tourist, conspiracy, car accident, tragic event, government conspiracy, foreign holiday",Italian,Beckett,Ferdinando Cito Filomarino,John David Washington,Boyd Holbrook,Vicky Krieps
"Thriller, Horror",2021,6.0,"home, invasion, sin, sequel, gunfight, blind, home invasion, criminal, handgun, aftercreditsstinger, blind man, hammer",English,Don't Breathe 2,Rodo Sayagues,Stephen Lang,Brendan Sexton III,Madelyn Grace
"Drama, Music, Romance",2021,8.0,"parent child relationship, music teacher, fishing, deaf, massachusetts, coming of age, remake, singing, family, first love, disability, based on movie, woman director, sign languages, school choir, music school, calm, american sign language (asl), loving, teenager, appreciative",English,CODA,Sian Heder,Emilia Jones,Eugenio Derbez,Troy Kotsur
"Mystery, Science Fiction",2021,5.9,"miami, florida, drug addiction, new orleans, louisiana, flashback, murder, memory, woman director, hopeless, neo-noir, depressing, complicated, pretentious",English,Reminiscence,Lisa Joy,Hugh Jackman,Rebecca Ferguson,Thandiwe Newton
"Action, Thriller",2021,6.1,"assassination, female assassin, bucharest, romania, mentor protégé relationship, traumatic childhood, fling, master disciple relationship, da nang, vietnam, water torture",English,The Protégé,Martin Campbell,Michael Keaton,Maggie Q,Samuel L. Jackson
"Drama, Horror, Mystery, Thriller",2021,6.4,"depression, nightmare, widow, forest, grieving widower, grief, new york state, book store, occult, doppelgänger, schoolteacher, lake house, suicide of husband",English,The Night House,David Bruckner,Rebecca Hall,Sarah Goldberg,Evan Jonigkeit
"Animation, Family, Comedy, Adventure, Fantasy",2021,6.1,musical,English,The Loud House Movie,Dave Needham,Asher Bishop,David Tennant,Michelle Gomez
"Action, Thriller, Drama",2021,5.5,"daughter, escape, fight, truth, father, safe, justice, family, death, parents, kid, drug",English,Sweet Girl,Brian Andrew Mendoza,Jason Momoa,Isabela Merced,Manuel Garcia-Rulfo
"Drama, Thriller, Crime",2021,5.5,"daughter, based on novel or book, bank robber, father, based on true story",English,Flag Day,Sean Penn,Dylan Penn,Sean Penn,Katheryn Winnick
"Animation, Fantasy",2021,6.4,adult animation,English,Cryptozoo,Dash Shaw,Lake Bell,Michael Cera,Angeliki Papoulia
"Crime, Thriller, Comedy",2021,2.9,amused,English,Habit,Janell Shirtcliff,Josie Ho,Bella Thorne,Gavin Rossdale
"Thriller, Horror",2015,5.3,"detective, investigation, haunted house, possession, car crash, anti-christ, trance, demon, missing person, séance, infra red",English,Demonic,Neill Blomkamp,Carly Pope,Chris William Martin,Michael Rogers
"Comedy, Drama",2021,7.0,"small town, hairdresser, funeral, nursing home, lgbt, 1990s, gay theme, comforting, joyful",English,Swan Song,Benjamin Cleary,Mahershala Ali,Naomie Harris,Glenn Close
